,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
322110,565226,23245,SET OF 3 REGENCY CAKE TINS,4,2011-09-02,4.95,16992.0,United Kingdom,2011-09-02 08:50:00
322111,565226,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-09-02,0.83,16992.0,United Kingdom,2011-09-02 08:50:00
322112,565226,85099B,JUMBO BAG RED RETROSPOT,10,2011-09-02,2.08,16992.0,United Kingdom,2011-09-02 08:50:00
322113,565226,22197,POPCORN HOLDER,12,2011-09-02,0.85,16992.0,United Kingdom,2011-09-02 08:50:00
322114,565226,22625,RED KITCHEN SCALES,2,2011-09-02,8.5,16992.0,United Kingdom,2011-09-02 08:50:00
322115,565226,22624,IVORY KITCHEN SCALES,2,2011-09-02,8.5,16992.0,United Kingdom,2011-09-02 08:50:00
322116,565226,20764,ABSTRACT CIRCLES SKETCHBOOK ,4,2011-09-02,3.75,16992.0,United Kingdom,2011-09-02 08:50:00
322117,565226,20765,CHRYSANTHEMUM SKETCHBOOK ,4,2011-09-02,3.75,16992.0,United Kingdom,2011-09-02 08:50:00
322118,565226,22300,COFFEE MUG DOG + BALL DESIGN,6,2011-09-02,2.55,16992.0,United Kingdom,2011-09-02 08:50:00
322119,565226,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-09-02,2.55,16992.0,United Kingdom,2011-09-02 08:50:00
322120,565226,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-09-02,0.55,16992.0,United Kingdom,2011-09-02 08:50:00
322121,565226,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-09-02,0.55,16992.0,United Kingdom,2011-09-02 08:50:00
322122,565226,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2011-09-02,0.29,16992.0,United Kingdom,2011-09-02 08:50:00
322123,565226,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-09-02,1.65,16992.0,United Kingdom,2011-09-02 08:50:00
322124,565226,21212,PACK OF 72 RETROSPOT CAKE CASES,48,2011-09-02,0.55,16992.0,United Kingdom,2011-09-02 08:50:00
322125,565226,84992,72 SWEETHEART FAIRY CAKE CASES,48,2011-09-02,0.55,16992.0,United Kingdom,2011-09-02 08:50:00
322126,565226,84950,ASSORTED COLOUR T-LIGHT HOLDER,24,2011-09-02,0.65,16992.0,United Kingdom,2011-09-02 08:50:00
322127,565226,84949,SILVER HANGING T-LIGHT HOLDER,6,2011-09-02,1.65,16992.0,United Kingdom,2011-09-02 08:50:00
322128,565226,21695,SMALL SILVER FLOWER CANDLE POT,6,2011-09-02,2.95,16992.0,United Kingdom,2011-09-02 08:50:00
