,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
115819,546153,48185,DOORMAT FAIRY CAKE,10,2011-03-10,6.75,13538.0,United Kingdom,2011-03-10 07:42:00
115820,546153,48187,DOORMAT NEW ENGLAND,10,2011-03-10,6.75,13538.0,United Kingdom,2011-03-10 07:42:00
115821,546153,21524,DOORMAT SPOTTY HOME SWEET HOME,10,2011-03-10,6.75,13538.0,United Kingdom,2011-03-10 07:42:00
115822,546153,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-03-10,6.75,13538.0,United Kingdom,2011-03-10 07:42:00
115823,546153,21955,DOORMAT UNION JACK GUNS AND ROSES,10,2011-03-10,6.75,13538.0,United Kingdom,2011-03-10 07:42:00
115824,546154,62018,SOMBRERO ,400,2011-03-10,1.25,13953.0,United Kingdom,2011-03-10 07:43:00
115825,546155,22568,FELTCRAFT CUSHION OWL,8,2011-03-10,3.75,15632.0,United Kingdom,2011-03-10 08:29:00
115826,546155,22570,FELTCRAFT CUSHION RABBIT,8,2011-03-10,3.75,15632.0,United Kingdom,2011-03-10 08:29:00
115827,546155,23006,TRAVEL CARD WALLET FLOWER MEADOW,24,2011-03-10,0.42,15632.0,United Kingdom,2011-03-10 08:29:00
115828,546155,23000,TRAVEL CARD WALLET TRANSPORT,24,2011-03-10,0.42,15632.0,United Kingdom,2011-03-10 08:29:00
115829,546155,20723,STRAWBERRY CHARLOTTE BAG,10,2011-03-10,0.85,15632.0,United Kingdom,2011-03-10 08:29:00
115830,546155,20719,WOODLAND CHARLOTTE BAG,10,2011-03-10,0.85,15632.0,United Kingdom,2011-03-10 08:29:00
115831,546155,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2011-03-10,0.29,15632.0,United Kingdom,2011-03-10 08:29:00
115832,546155,21981,PACK OF 12 WOODLAND TISSUES ,24,2011-03-10,0.29,15632.0,United Kingdom,2011-03-10 08:29:00
115833,546155,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,12,2011-03-10,0.85,15632.0,United Kingdom,2011-03-10 08:29:00
115834,546155,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-03-10,7.95,15632.0,United Kingdom,2011-03-10 08:29:00
115835,546155,48187,DOORMAT NEW ENGLAND,2,2011-03-10,7.95,15632.0,United Kingdom,2011-03-10 08:29:00
115836,546155,82552,WASHROOM METAL SIGN,12,2011-03-10,1.45,15632.0,United Kingdom,2011-03-10 08:29:00
115837,546155,20749,ASSORTED COLOUR MINI CASES,2,2011-03-10,7.95,15632.0,United Kingdom,2011-03-10 08:29:00
115838,546155,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-03-10,1.65,15632.0,United Kingdom,2011-03-10 08:29:00
115839,546155,22553,PLASTERS IN TIN SKULLS,12,2011-03-10,1.65,15632.0,United Kingdom,2011-03-10 08:29:00
115840,546155,22087,PAPER BUNTING WHITE LACE,6,2011-03-10,2.95,15632.0,United Kingdom,2011-03-10 08:29:00
115841,546155,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-10,4.95,15632.0,United Kingdom,2011-03-10 08:29:00
115842,546155,20728,LUNCH BAG CARS BLUE,10,2011-03-10,1.65,15632.0,United Kingdom,2011-03-10 08:29:00
115843,546155,20725,LUNCH BAG RED RETROSPOT,10,2011-03-10,1.65,15632.0,United Kingdom,2011-03-10 08:29:00
