,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
332447,566074,22624,IVORY KITCHEN SCALES,2,2011-09-09,8.5,12535.0,France,2011-09-09 08:48:00
332448,566074,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-09-09,4.95,12535.0,France,2011-09-09 08:48:00
332449,566074,90184C,BLACK CHUNKY BEAD BRACELET W STRAP,4,2011-09-09,8.95,12535.0,France,2011-09-09 08:48:00
332450,566074,21155,RED RETROSPOT PEG BAG,12,2011-09-09,2.55,12535.0,France,2011-09-09 08:48:00
332451,566074,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2011-09-09,1.65,12535.0,France,2011-09-09 08:48:00
332452,566074,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-09-09,4.95,12535.0,France,2011-09-09 08:48:00
332453,566074,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2011-09-09,4.95,12535.0,France,2011-09-09 08:48:00
332454,566074,23398,HANGING HEART BONHEUR,24,2011-09-09,0.85,12535.0,France,2011-09-09 08:48:00
332455,566074,23395,BELLE JARDINIERE CUSHION COVER,4,2011-09-09,3.75,12535.0,France,2011-09-09 08:48:00
332456,566074,23396,LA JARDIN BOTANIQUE CUSHION COVER,4,2011-09-09,3.75,12535.0,France,2011-09-09 08:48:00
332457,566074,23393,HOME SWEET HOME CUSHION COVER ,4,2011-09-09,3.75,12535.0,France,2011-09-09 08:48:00
332458,566074,46000S,POLYESTER FILLER PAD 40x40cm,12,2011-09-09,1.45,12535.0,France,2011-09-09 08:48:00
332459,566074,22626,BLACK KITCHEN SCALES,2,2011-09-09,8.5,12535.0,France,2011-09-09 08:48:00
332460,566074,22625,RED KITCHEN SCALES,2,2011-09-09,8.5,12535.0,France,2011-09-09 08:48:00
332461,566074,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-09-09,4.95,12535.0,France,2011-09-09 08:48:00
332462,566074,90184B,AMETHYST CHUNKY BEAD BRACELET W STR,4,2011-09-09,8.95,12535.0,France,2011-09-09 08:48:00
332463,566075,23393,HOME SWEET HOME CUSHION COVER ,4,2011-09-09,3.75,16173.0,United Kingdom,2011-09-09 09:03:00
332464,566075,46000M,POLYESTER FILLER PAD 45x45cm,12,2011-09-09,1.55,16173.0,United Kingdom,2011-09-09 09:03:00
332465,566075,23396,LA JARDIN BOTANIQUE CUSHION COVER,4,2011-09-09,3.75,16173.0,United Kingdom,2011-09-09 09:03:00
332466,566075,23394,POSTE FRANCE CUSHION COVER,4,2011-09-09,3.75,16173.0,United Kingdom,2011-09-09 09:03:00
332467,566075,23399,HOME SWEET HOME HANGING HEART,12,2011-09-09,0.85,16173.0,United Kingdom,2011-09-09 09:03:00
332468,566075,85175,CACTI T-LIGHT CANDLES,16,2011-09-09,0.42,16173.0,United Kingdom,2011-09-09 09:03:00
332469,566075,20932,PINK POT PLANT CANDLE,12,2011-09-09,2.95,16173.0,United Kingdom,2011-09-09 09:03:00
