,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
186509,552867,23109,LED TEA LIGHTS,6,2011-05-12,2.89,15513.0,United Kingdom,2011-05-12 08:36:00
186510,552867,22297,HEART IVORY TRELLIS SMALL,24,2011-05-12,1.25,15513.0,United Kingdom,2011-05-12 08:36:00
186511,552867,22927,GREEN GIANT GARDEN THERMOMETER,4,2011-05-12,5.95,15513.0,United Kingdom,2011-05-12 08:36:00
186512,552867,22443,GROW YOUR OWN HERBS SET OF 3,4,2011-05-12,7.95,15513.0,United Kingdom,2011-05-12 08:36:00
186513,552867,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,8,2011-05-12,2.1,15513.0,United Kingdom,2011-05-12 08:36:00
186514,552867,21114,LAVENDER SCENTED FABRIC HEART,20,2011-05-12,1.25,15513.0,United Kingdom,2011-05-12 08:36:00
186515,552867,23108,SET OF 10 LED DOLLY LIGHTS,12,2011-05-12,5.39,15513.0,United Kingdom,2011-05-12 08:36:00
186516,552867,22607,WOODEN ROUNDERS GARDEN SET ,2,2011-05-12,9.95,15513.0,United Kingdom,2011-05-12 08:36:00
186517,552867,21917,SET 12 KIDS  WHITE CHALK STICKS,24,2011-05-12,0.42,15513.0,United Kingdom,2011-05-12 08:36:00
186518,552867,20685,DOORMAT RED RETROSPOT,10,2011-05-12,6.75,15513.0,United Kingdom,2011-05-12 08:36:00
186519,552867,23298,SPOTTY BUNTING,50,2011-05-12,4.15,15513.0,United Kingdom,2011-05-12 08:36:00
186520,552867,23173,REGENCY TEAPOT ROSES ,2,2011-05-12,9.95,15513.0,United Kingdom,2011-05-12 08:36:00
186521,552867,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-05-12,2.95,15513.0,United Kingdom,2011-05-12 08:36:00
186522,552867,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-05-12,2.95,15513.0,United Kingdom,2011-05-12 08:36:00
186523,552867,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-05-12,2.95,15513.0,United Kingdom,2011-05-12 08:36:00
186524,552867,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,2011-05-12,3.75,15513.0,United Kingdom,2011-05-12 08:36:00
186525,552867,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-05-12,3.75,15513.0,United Kingdom,2011-05-12 08:36:00
186526,552867,22729,ALARM CLOCK BAKELIKE ORANGE,4,2011-05-12,3.75,15513.0,United Kingdom,2011-05-12 08:36:00
186527,552867,22728,ALARM CLOCK BAKELIKE PINK,4,2011-05-12,3.75,15513.0,United Kingdom,2011-05-12 08:36:00
186528,552867,22727,ALARM CLOCK BAKELIKE RED ,4,2011-05-12,3.75,15513.0,United Kingdom,2011-05-12 08:36:00
