,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
74389,542423,22977,DOLLY GIRL CHILDRENS EGG CUP,48,2011-01-28,1.25,15057.0,United Kingdom,2011-01-28 09:09:00
74390,542423,22974,CHILDRENS DOLLY GIRL MUG,24,2011-01-28,1.65,15057.0,United Kingdom,2011-01-28 09:09:00
74391,542423,22951,60 CAKE CASES DOLLY GIRL DESIGN,48,2011-01-28,0.55,15057.0,United Kingdom,2011-01-28 09:09:00
74392,542423,22949,36 DOILIES DOLLY GIRL,24,2011-01-28,1.45,15057.0,United Kingdom,2011-01-28 09:09:00
74393,542423,22635,CHILDS BREAKFAST SET DOLLY GIRL ,8,2011-01-28,8.5,15057.0,United Kingdom,2011-01-28 09:09:00
74394,542423,22634,CHILDS BREAKFAST SET SPACEBOY ,8,2011-01-28,8.5,15057.0,United Kingdom,2011-01-28 09:09:00
74395,542423,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-01-28,0.55,15057.0,United Kingdom,2011-01-28 09:09:00
74396,542423,22629,SPACEBOY LUNCH BOX ,24,2011-01-28,1.95,15057.0,United Kingdom,2011-01-28 09:09:00
74397,542423,22630,DOLLY GIRL LUNCH BOX,24,2011-01-28,1.95,15057.0,United Kingdom,2011-01-28 09:09:00
74398,542423,22988,SOLDIERS EGG CUP ,48,2011-01-28,1.25,15057.0,United Kingdom,2011-01-28 09:09:00
74399,542423,22659,LUNCH BOX I LOVE LONDON,24,2011-01-28,1.95,15057.0,United Kingdom,2011-01-28 09:09:00
74400,542423,22900, SET 2 TEA TOWELS I LOVE LONDON ,12,2011-01-28,2.95,15057.0,United Kingdom,2011-01-28 09:09:00
74401,542423,22970,LONDON BUS COFFEE MUG,24,2011-01-28,2.55,15057.0,United Kingdom,2011-01-28 09:09:00
74402,542423,22960,JAM MAKING SET WITH JARS,24,2011-01-28,3.75,15057.0,United Kingdom,2011-01-28 09:09:00
74403,542423,22148,EASTER CRAFT 4 CHICKS ,24,2011-01-28,1.95,15057.0,United Kingdom,2011-01-28 09:09:00
74404,542423,22149,FELTCRAFT 6 FLOWER FRIENDS,24,2011-01-28,2.1,15057.0,United Kingdom,2011-01-28 09:09:00
74405,542423,22607,WOODEN ROUNDERS GARDEN SET ,8,2011-01-28,8.5,15057.0,United Kingdom,2011-01-28 09:09:00
74406,542423,22692,DOORMAT WELCOME TO OUR HOME,10,2011-01-28,6.75,15057.0,United Kingdom,2011-01-28 09:09:00
74407,542423,48138,DOORMAT UNION FLAG,10,2011-01-28,6.75,15057.0,United Kingdom,2011-01-28 09:09:00
74408,542423,22457,NATURAL SLATE HEART CHALKBOARD ,24,2011-01-28,2.95,15057.0,United Kingdom,2011-01-28 09:09:00
