,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
274544,560923,22777,,-14,2011-07-22,0.0,,United Kingdom,2011-07-22 08:54:00
274545,560924,22960,JAM MAKING SET WITH JARS,72,2011-07-22,3.75,15061.0,United Kingdom,2011-07-22 09:01:00
274546,560924,22993,SET OF 4 PANTRY JELLY MOULDS,144,2011-07-22,1.06,15061.0,United Kingdom,2011-07-22 09:01:00
274547,560924,23296,SET OF 6 TEA TIME BAKING CASES,128,2011-07-22,1.04,15061.0,United Kingdom,2011-07-22 09:01:00
274548,560924,23293,SET OF 12 FAIRY CAKE BAKING CASES,128,2011-07-22,0.72,15061.0,United Kingdom,2011-07-22 09:01:00
274549,560925,48184,DOORMAT ENGLISH ROSE ,20,2011-07-22,6.75,15061.0,United Kingdom,2011-07-22 09:02:00
274550,560925,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-07-22,6.75,15061.0,United Kingdom,2011-07-22 09:02:00
274551,560925,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-07-22,7.65,15061.0,United Kingdom,2011-07-22 09:02:00
274552,560925,22659,LUNCH BOX I LOVE LONDON,64,2011-07-22,1.65,15061.0,United Kingdom,2011-07-22 09:02:00
274553,560925,22629,SPACEBOY LUNCH BOX ,64,2011-07-22,1.65,15061.0,United Kingdom,2011-07-22 09:02:00
274554,560925,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,2011-07-22,1.65,15061.0,United Kingdom,2011-07-22 09:02:00
274555,560925,22467,GUMBALL COAT RACK,18,2011-07-22,2.55,15061.0,United Kingdom,2011-07-22 09:02:00
274556,560925,22423,REGENCY CAKESTAND 3 TIER,72,2011-07-22,10.95,15061.0,United Kingdom,2011-07-22 09:02:00
274557,560925,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,20,2011-07-22,2.95,15061.0,United Kingdom,2011-07-22 09:02:00
274558,560925,20685,DOORMAT RED RETROSPOT,20,2011-07-22,6.75,15061.0,United Kingdom,2011-07-22 09:02:00
274559,560926,21136,PAINTED METAL PEARS ASSORTED,8,2011-07-22,1.04,,United Kingdom,2011-07-22 09:20:00
274560,560926,21179,NO JUNK MAIL METAL SIGN,4,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274561,560926,21204,DAISIES  HONEYCOMB GARLAND ,1,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274562,560926,21211,SET OF 72 SKULL PAPER  DOILIES,1,2011-07-22,1.25,,United Kingdom,2011-07-22 09:20:00
274563,560926,21213,PACK OF 72 SKULL CAKE CASES,1,2011-07-22,1.25,,United Kingdom,2011-07-22 09:20:00
274564,560926,21224,SET/4 SKULL BADGES,1,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274565,560926,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-07-22,2.46,,United Kingdom,2011-07-22 09:20:00
274566,560926,21238,RED RETROSPOT CUP,1,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274567,560926,21327,SKULLS WRITING SET ,1,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274568,560926,21328,BALLOONS  WRITING SET ,16,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274569,560926,21329,DINOSAURS  WRITING SET ,16,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274570,560926,22329,ROUND CONTAINER SET OF 5 RETROSPOT,8,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274571,560926,22331,WOODLAND PARTY BAG + STICKER SET,1,2011-07-22,3.29,,United Kingdom,2011-07-22 09:20:00
274572,560926,22342,HOME GARLAND PAINTED ZINC ,2,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274573,560926,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,4,2011-07-22,4.96,,United Kingdom,2011-07-22 09:20:00
274574,560926,22355,CHARLOTTE BAG SUKI DESIGN,2,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274575,560926,22356,CHARLOTTE BAG PINK POLKADOT,2,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274576,560926,22358,KINGS CHOICE TEA CADDY ,7,2011-07-22,2.46,,United Kingdom,2011-07-22 09:20:00
274577,560926,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2011-07-22,4.13,,United Kingdom,2011-07-22 09:20:00
274578,560926,22377,BOTTLE BAG RETROSPOT ,2,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274579,560926,21366,MIRRORED WALL ART PHOTO FRAMES,3,2011-07-22,3.29,,United Kingdom,2011-07-22 09:20:00
274580,560926,22378,WALL TIDY RETROSPOT ,2,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274581,560926,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1,2011-07-22,3.29,,United Kingdom,2011-07-22 09:20:00
274582,560926,21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,2,2011-07-22,10.79,,United Kingdom,2011-07-22 09:20:00
274583,560926,21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,2,2011-07-22,3.29,,United Kingdom,2011-07-22 09:20:00
274584,560926,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,2011-07-22,3.29,,United Kingdom,2011-07-22 09:20:00
274585,560926,21382,SET/4 SPRING FLOWER DECORATION,4,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274586,560926,21383,PACK OF 12 STICKY BUNNIES,4,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274587,560926,21389,IVORY HANGING DECORATION  BIRD,4,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274588,560926,21391,FRENCH LAVENDER SCENT HEART,1,2011-07-22,1.63,,United Kingdom,2011-07-22 09:20:00
274589,560926,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,1,2011-07-22,8.29,,United Kingdom,2011-07-22 09:20:00
274590,560926,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,2,2011-07-22,7.46,,United Kingdom,2011-07-22 09:20:00
274591,560926,21439,BASKET OF TOADSTOOLS,2,2011-07-22,1.25,,United Kingdom,2011-07-22 09:20:00
274592,560926,22380,TOY TIDY SPACEBOY  ,2,2011-07-22,4.13,,United Kingdom,2011-07-22 09:20:00
274593,560926,22381,TOY TIDY PINK POLKADOT,2,2011-07-22,4.13,,United Kingdom,2011-07-22 09:20:00
274594,560926,22384,LUNCH BAG PINK POLKADOT,1,2011-07-22,4.13,,United Kingdom,2011-07-22 09:20:00
274595,560926,22419,LIPSTICK PEN RED,3,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274596,560926,22421,LIPSTICK PEN FUSCHIA,1,2011-07-22,0.83,,United Kingdom,2011-07-22 09:20:00
274597,560926,22426,ENAMEL WASH BOWL CREAM,1,2011-07-22,7.46,,United Kingdom,2011-07-22 09:20:00
