,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceTimestamp
259655,559699,23020,GLASS  SONGBIRD STORAGE JAR,4,2011-07-12,12.5,12682.0,France,2011-07-12 08:52:00
259656,559699,23287,RED VINTAGE SPOT BEAKER,8,2011-07-12,0.85,12682.0,France,2011-07-12 08:52:00
259657,559699,23285,PINK VINTAGE SPOT BEAKER,8,2011-07-12,0.85,12682.0,France,2011-07-12 08:52:00
259658,559699,23286,BLUE VINTAGE SPOT BEAKER,8,2011-07-12,0.85,12682.0,France,2011-07-12 08:52:00
259659,559699,22361,GLASS JAR DAISY FRESH COTTON WOOL,6,2011-07-12,2.95,12682.0,France,2011-07-12 08:52:00
259660,559699,22432,WATERING CAN PINK BUNNY,6,2011-07-12,1.95,12682.0,France,2011-07-12 08:52:00
259661,559699,22973,CHILDREN'S CIRCUS PARADE MUG,12,2011-07-12,1.65,12682.0,France,2011-07-12 08:52:00
259662,559699,22972,CHILDREN'S SPACEBOY MUG,12,2011-07-12,1.65,12682.0,France,2011-07-12 08:52:00
259663,559699,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-07-12,2.95,12682.0,France,2011-07-12 08:52:00
259664,559699,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-07-12,2.95,12682.0,France,2011-07-12 08:52:00
259665,559699,POST,POSTAGE,1,2011-07-12,18.0,12682.0,France,2011-07-12 08:52:00
259666,559700,21733,RED HANGING HEART T-LIGHT HOLDER,128,2011-07-12,3.24,17450.0,United Kingdom,2011-07-12 09:04:00
259667,559700,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2011-07-12,3.24,17450.0,United Kingdom,2011-07-12 09:04:00
259668,559700,22470,HEART OF WICKER LARGE,150,2011-07-12,3.21,17450.0,United Kingdom,2011-07-12 09:04:00
259669,559700,22469,HEART OF WICKER SMALL,144,2011-07-12,1.93,17450.0,United Kingdom,2011-07-12 09:04:00
259670,559700,82552,WASHROOM METAL SIGN,96,2011-07-12,1.7,17450.0,United Kingdom,2011-07-12 09:04:00
